idu,p_arene,p_raw,ponderee_au,ecart
97422000CS1225,0.006731287022078621,0.006731,False,2.870220786209063e-07
97412000BL0547,0.009541397353031703,0.009541,False,3.973530317037677e-07
97410000AN0855,0.041367351994054995,0.041367,False,3.519940549936984e-07
97405000AI1079,0.017857142857142856,0.017857,False,1.4285714285480755e-07
97420000BH1516,0.006731287022078621,0.006731,False,2.870220786209063e-07
97419000AM0461,0.016883261135177165,0.016883,False,2.6113517716599977e-07
97403000AI0027,0.013703943115707821,0.013704,False,5.6884292177691864e-08
97403000AS0705,0.006731287022078621,0.006731,False,2.870220786209063e-07
97404000AX0273,0.013878849212086165,0.013879,False,1.5078791383571488e-07
97416000CS1614,0.016022841787033924,0.016023,False,1.5821296607543278e-07
97416000EI1218,0.01264591439688716,0.012646,False,8.56031128395468e-08
97416000EN1264,0.013703943115707821,0.013704,False,5.6884292177691864e-08
97416000HL0254,0.016883261135177165,0.016883,False,2.6113517716599977e-07
97414000CO0084,0.016883261135177165,0.016883,False,2.6113517716599977e-07
97418000AP3553,0.007278472085084773,0.007278,False,4.720850847730537e-07
97415000BR0077,1e-07,0.0,False,1e-07
97416000DZ0061,0.004343629343629344,0.004344,False,3.706563706561486e-07
97416000HO0437,0.006731287022078621,0.006731,False,2.870220786209063e-07
97414000CI0936,0.01695293330359135,0.016953,False,6.669640864945259e-08
97412000CE1596,0.00805142928473349,0.008051,False,4.292847334899652e-07
97413000CD0697,0.009404388714733543,0.009404,False,3.887147335436547e-07
97422000BH1227,0.011601693517347555,0.011602,False,3.064826524443176e-07
97422000BS1168,0.008840227088402269,0.00884,False,2.270884022683578e-07
97422000BT0467,0.041367351994054995,0.041367,False,3.519940549936984e-07
97411000HC0284,0.013754472403073493,0.013754,False,4.72403073492611e-07
97413000CL0912,0.009541397353031703,0.009541,False,3.973530317037677e-07
97415000BN1198,0.016022841787033924,0.016023,False,1.5821296607543278e-07
97418000BP0427,0.007278472085084773,0.007278,False,4.720850847730537e-07
97411000AO0358,0.041367351994054995,0.041367,False,3.519940549936984e-07
97414000HD0146,0.016022841787033924,0.016023,False,1.5821296607543278e-07
97411000HH0377,0.03275862068965517,0.032759,False,3.7931034483490444e-07
97413000DE1577,0.013878849212086165,0.013879,False,1.5078791383571488e-07
97415000DS0933,0.011601693517347555,0.011602,False,3.064826524443176e-07
97413000CR0048,0.009541397353031703,0.009541,False,3.973530317037677e-07
97422000DL0978,0.008840227088402269,0.00884,False,2.270884022683578e-07
97417000AE0048,0.006731287022078621,0.006731,False,2.870220786209063e-07
97422000BS0732,0.041367351994054995,0.041367,False,3.519940549936984e-07
97409000BM1366,0.013754472403073493,0.013754,False,4.72403073492611e-07
97413000DE0903,0.009404388714733543,0.009404,False,3.887147335436547e-07
97414000DR0075,0.00907911802853437,0.009079,False,1.1802853436965188e-07
97415000DK0745,0.020976616231086657,0.020977,False,3.8376891334235275e-07
97411000AN0243,0.013754472403073493,0.013754,False,4.72403073492611e-07
97409000AL0069,0.00907911802853437,0.009079,False,1.1802853436965188e-07
97409000AV0432,0.013754472403073493,0.013754,False,4.72403073492611e-07
97409000AX0798,0.011834319526627219,0.011834,False,3.1952662721788927e-07
97410000CD0835,0.016187989556135773,0.016188,False,1.0443864228298905e-08
97416000IE1966,0.00907911802853437,0.009079,False,1.1802853436965188e-07
97415000AS1151,0.00907911802853437,0.009079,False,1.1802853436965188e-07
97422000BH0903,0.00907911802853437,0.009079,False,1.1802853436965188e-07
97411000HP0423,0.041367351994054995,0.041367,False,3.519940549936984e-07
97416000IA1491,0.012004865408006769,0.012005,False,1.3459199323107018e-07
97422000BO0659,0.007278472085084773,0.007278,False,4.720850847730537e-07
97415000AW1816,0.041666666666666664,0.041667,False,3.333333333382926e-07
97419000AK0880,0.008840227088402269,0.00884,False,2.270884022683578e-07
97403000AV0342,0.006731287022078621,0.006731,False,2.870220786209063e-07
97423000AK0352,0.006572420634920635,0.006572,False,4.2063492063527247e-07
97415000CO0525,0.012899262899262898,0.012899,False,2.6289926289765897e-07
97416000DK0162,0.020465278992478575,0.020465,False,2.78992478574408e-07
97416000EY0711,0.006731287022078621,0.006731,False,2.870220786209063e-07
97413000CN0955,0.007718034473887318,0.007718,False,3.447388731772638e-08
97413000DC1328,0.007278472085084773,0.007278,False,4.720850847730537e-07
97410000AC0095,0.006731287022078621,0.006731,False,2.870220786209063e-07
97410000AR1032,0.016022841787033924,0.016023,False,1.5821296607543278e-07
97405000AO0181,0.006731287022078621,0.006731,False,2.870220786209063e-07
97405000AY0771,0.016883261135177165,0.016883,False,2.6113517716599977e-07
97405000BD0187,0.008840227088402269,0.00884,False,2.270884022683578e-07
97411000DL0154,0.016022841787033924,0.016023,False,1.5821296607543278e-07
97418000AE0323,0.008840227088402269,0.00884,False,2.270884022683578e-07
97418000BO0323,0.013703943115707821,0.013704,False,5.6884292177691864e-08
97415000AH0214,0.004343629343629344,0.004344,False,3.706563706561486e-07
