feature,bin,effectif,taux_evenement,woe,coef,log_hazard
tenure_bin,inconnu,2761559,0.01580447855722076,-0.09223445840595995,0.5468969594339899,-0.0504427448572603
permis_bin,2-5a,60100,0.017054908485856904,-0.014341100029694779,0.887792082025733,-0.012731915053902029
permis_bin,5-10a,41467,0.01779728458774447,0.029208065662331913,0.887792082025733,0.02593068942630597
permis_bin,<2a,47818,0.06043749215776486,1.295652048575937,0.887792082025733,1.1502696297861374
permis_bin,jamais,2872256,0.016584524499208983,-0.043256482421550925,0.887792082025733,-0.038402762590138216
canopee_pct,≤ 0.4,585263,0.026196769657401885,0.41558590055509137,0.6499368176091243,0.27010457764999807
canopee_pct,"(0.4, 1.9]",298886,0.021754113608533018,0.2252443216514691,0.6499368176091243,0.1463945775986818
canopee_pct,"(1.9, 4.3]",305396,0.019361746715739564,0.10630586869628232,0.6499368176091243,0.06909209799363515
canopee_pct,"(4.3, 9.6]",450576,0.017570842654735273,0.007401968157922366,0.6499368176091243,0.004810811628604134
canopee_pct,"(9.6, 11.9]",144277,0.016073247988244835,-0.0830557959506476,0.6499368176091243,-0.05398101970415669
canopee_pct,"(11.9, 18]",299971,0.014921442406099257,-0.15868479700628732,0.6499368176091243,-0.10313509196921627
canopee_pct,"(18, 27.5]",301385,0.013026527531230818,-0.29640231722653254,0.6499368176091243,-0.19264277879018266
canopee_pct,"(27.5, 44.8]",298053,0.010863839652679222,-0.48011215710572497,0.6499368176091243,-0.3120425674847468
canopee_pct,"(44.8, 61.2]",149716,0.00862967217932619,-0.7123707638404425,0.6499368176091243,-0.4629959872082382
canopee_pct,> 61.2,149226,0.007458485786659161,-0.8593433438239483,0.6499368176091243,-0.5585188781185204
canopee_pct,manquant/inconnu,38892,0.006685179471356577,-0.9599326330952394,0.6499368176091243,-0.623895560673067
ndvi_moyen,≤ -0.157,148799,0.030121170169154363,0.5592925131547258,0.022637523685319242,0.01266099751356183
ndvi_moyen,"(-0.157, -0.116]",147329,0.027530221477102268,0.4666924620525001,0.022637523685319242,0.010564761663473423
ndvi_moyen,"(-0.116, -0.062]",299418,0.024427389134921748,0.3438743846834318,0.022637523685319242,0.007784464528045767
ndvi_moyen,"(-0.062, -0.019]",294259,0.021650994532027908,0.22038898848045638,0.022637523685319242,0.004989060946709881
ndvi_moyen,"(-0.019, 0.023]",302106,0.01993340085930104,0.13598488915495424,0.022637523685319242,0.0030783611490907883
ndvi_moyen,"(0.023, 0.065]",294014,0.01807056806818723,0.03598478967577934,0.022637523685319242,0.0008146065285966861
ndvi_moyen,"(0.065, 0.112]",300790,0.016127530835466603,-0.07973978585263955,0.022637523685319242,-0.001805111290901412
ndvi_moyen,"(0.112, 0.166]",298494,0.013872975671202771,-0.2325960647483746,0.022637523685319242,-0.005265398924853378
ndvi_moyen,"(0.166, 0.23]",298305,0.012249208025343189,-0.3587066969128906,0.022637523685319242,-0.008120231347448192
ndvi_moyen,> 0.23,599235,0.009719058466211086,-0.5926876084507591,0.022637523685319242,-0.013416979774299275
ndvi_moyen,manquant/inconnu,38892,0.006685179471356577,-0.9599326330952394,0.022637523685319242,-0.021730497718004345
piscine,false,2897538,0.016776656596048094,-0.03152408240002818,0.6823569387585279,-0.021510676363654814
piscine,true,124103,0.02962861494081529,0.550507240988528,0.6823569387585279,0.3756424357253351
proc_collective,false,570921,0.022707169643435783,0.003203122142718559,0.6314592611212445,0.0020226411415221585
proc_collective,true,3534,0.011035653650254669,-0.717659970174843,0.6314592611212445,-0.4531730345029007
proc_collective,manquant/inconnu,2447186,0.016053132046358554,-0.07634173040633546,0.6314592611212445,-0.04820669267510184
succession_indivision,false,524559,0.02315468803318597,0.023192677607570933,0.5284417218213793,0.01225597848859293
succession_indivision,true,49903,0.017173316233492976,-0.28121939620474307,0.5284417218213793,-0.1486080619400031
succession_indivision,manquant/inconnu,2447179,0.01605317796532252,-0.07633882330645,0.5284417218213793,-0.04034061922987848
age_dirigeant_bin,55-64,37145,0.03591331269349845,0.013847085213298947,1.3851535365623409,0.019180339054281133
