idu,p,raison_1,raison_2,raison_3,contrib_1,contrib_2,contrib_3
97416000EY0987,0.07943,Parcelle de 584 m² (cadastre),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),"Terrain du secteur à 3 €/m² (DVF arrêté au 31/12/2025, 36 mois)",0.1289,0.1036,0.071
97408000AM0572,0.07943,Détenue depuis moins d'un an — dernière mutation connue (DVF arrêté au 31/12/2025),Parcelle de 4615 m² (cadastre),7 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),1.3855,0.2462,0.1161
97411000IC0451,0.07943,Parcelle de 204 m² (cadastre),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),Frein — Secteur densément bâti (BD TOPO 2026),0.1336,0.1036,-0.0955
97414000EK0627,0.07943,Parcelle de 551 m² (cadastre),6% de ménages pauvres dans le carreau (Filosofi INSEE 2019),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),0.1289,0.1094,0.1036
97412000BW0837,0.07943,Candidat photovoltaïque (ortho 2026),7 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),0.1253,0.1161,0.1036
97411000DY0128,0.07943,Piscine détectée sur la parcelle (ortho 2026),Détenue depuis 5 à 8 ans — dernière mutation connue (DVF arrêté au 31/12/2025),5 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),0.3786,0.321,0.2623
97412000CE1307,0.07943,Détenue depuis moins d'un an — dernière mutation connue (DVF arrêté au 31/12/2025),Frein — Zone A au PLU (PLU/GPU en vigueur à l'ingestion 2026),Parcelle de 12956 m² (cadastre),1.7203,-0.5621,0.461
97416000EX1895,0.07943,Détenue depuis moins d'un an — dernière mutation connue (DVF arrêté au 31/12/2025),5 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),12 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),1.0433,0.2623,0.2532
97415000BW0724,0.07943,"Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),Secteur densément bâti (BD TOPO 2026),0.195,0.1036,0.0981
97422000DH0554,0.07943,Détenue depuis moins d'un an — dernière mutation connue (DVF arrêté au 31/12/2025),Frein — Zone A au PLU (PLU/GPU en vigueur à l'ingestion 2026),Parcelle de 31250 m² (cadastre),1.8108,-0.5621,0.461
97416000ET2164,0.07943,Frein — Le propriétaire a vendu une autre parcelle depuis 24 mois (millésimes fonciers PM 2019-2024),10 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),9 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),-0.6133,0.2623,0.2532
97416000CS0642,0.07943,"Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",Frein — nan% de ménages pauvres dans le carreau (Filosofi INSEE 2019),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),0.2864,-0.136,0.1036
97414000EM1037,0.07943,6 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),Parcelle de 181 m² (cadastre),"54 m² de SDP résiduelle (résiduel m135, PLU 2026)",0.2623,0.1336,0.1134
97416000IA1390,0.07943,Parcelle de 480 m² (cadastre),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),"Aucune vente connue depuis au moins 12 ans (DVF arrêté au 31/12/2025, historique 2014+)",0.2132,0.1036,0.063
