idu,date_vente,vente_groupee,premier_envoi,n_simule,premiere_piste,exclue_client
97401000AR1203,2025-08-22,True,,,,False
97409000BP0275,2025-06-17,True,,,,False
97416000CV1751,2025-03-04,True,,,,False
97413000DM0239,2025-03-04,True,,,,False
97401000AM0867,2025-09-23,False,,,,False
97411000HO0775,2025-05-06,False,,,,False
97401000AM1228,2025-08-13,True,,,,False
97411000KE0391,2025-07-21,True,,,,False
97416000EP0777,2025-07-17,False,,,,False
97415000CO0370,2025-07-01,True,,,,False
97420000BH2178,2025-02-26,False,,,,False
97408000BO0162,2025-12-11,True,,,,False
97420000AO0597,2025-09-09,True,,,,False
97408000AC3756,2025-07-10,True,,,,False
97416000HX1417,2025-11-18,False,,,,False
97408000BO0632,2025-10-23,False,,,,False
97411000AD0161,2025-03-26,False,,,,False
97405000AN0421,2025-10-23,True,,,,False
97415000CT1941,2025-01-30,False,,,,False
97413000CS1024,2025-11-25,False,,,,False
97413000CN0777,2025-09-12,True,,,,False
97410000AW0613,2025-07-16,False,,,,False
97416000IA1893,2025-11-14,True,,,,False
97408000AC1613,2025-11-24,False,,,,False
97415000CH2212,2025-12-15,False,,,,False
97420000BE0969,2025-04-16,True,,,,False
97408000AO1903,2025-02-21,True,,,,False
97410000AV0672,2025-10-14,True,,,,False
97405000BI0138,2025-07-17,True,,,,False
97411000DS0651,2025-07-11,False,,,,False
97416000DT0578,2025-10-02,False,,,,False
97416000DV0260,2025-02-27,False,,,,False
97416000DR0357,2025-07-31,False,,,,False
97412000CE1558,2025-01-10,True,,,,False
97418000AO1931,2025-11-06,False,,,,False
97409000BR0032,2025-11-19,True,,,,False
97411000AL0072,2025-10-09,False,,,,False
97418000AD0003,2025-10-16,True,,,,False
97404000AV0221,2025-04-25,True,,,,False
97416000HS0743,2025-01-10,False,,,,False
97416000EX1806,2025-02-13,True,,,,False
97411000BZ0925,2025-04-08,False,,,,False
97408000AT1538,2025-03-03,False,,,,False
97416000IL0359,2025-01-10,False,,,,False
97419000AO0187,2025-12-04,False,,,,False
97415000CO0412,2025-07-01,True,,,,False
