idu,commune,grandeur,chemins_compares,valeurs,egalite,verdict,note
97404000AI0171,L'Étang-Salé,tier,fiche.label|v2/score|mvt->court,"{""fiche.label"": ""Faible"", ""v2/score(court)"": ""Faible"", ""mvt(court)"": ""Faible""}",OK,exp_court=Faible raw=declasse_bati_sature,etage0=False
97404000AI0171,L'Étang-Salé,surface,fiche|geom_ST_Area(2975)|parcels.surface_m2|mvt,"{""fiche"": 433.0, ""geom_ST_Area_2975"": 432.99, ""parcels.surface_m2"": 432.99, ""mvt"": 432.99}",OK,arrondi entier,"geom en SRID 2975 (4326=degres, artefact ecarte)"
97404000AI0171,L'Étang-Salé,sdp_residuelle,fiche|mvt|renouv|parcel_residuel,"{""fiche.pot_transfo"": 0, ""mvt"": 0, ""residuel(canon)"": 0}",OK,canon=parcel_residuel cause NULL,
97419000AI0827,Sainte-Rose,tier,fiche.label|v2/score|mvt->court,"{""fiche.label"": ""Écartée"", ""v2/score(court)"": ""Écartée"", ""mvt(court)"": ""Écartée""}",OK,exp_court=Écartée raw=ecartee,etage0=False
97419000AI0827,Sainte-Rose,surface,fiche|geom_ST_Area(2975)|parcels.surface_m2|mvt,"{""fiche"": 18272.0, ""geom_ST_Area_2975"": 18272.18, ""parcels.surface_m2"": 18272.18, ""mvt"": 18272.18}",OK,arrondi entier,"geom en SRID 2975 (4326=degres, artefact ecarte)"
97419000AI0827,Sainte-Rose,sdp_residuelle,fiche|mvt|renouv|parcel_residuel,"{""mvt"": 0}",OK,canon=parcel_residuel cause NULL,
97411000CE1132,Saint-Denis,tier,fiche.label|v2/score|mvt->court,"{""fiche.label"": ""Priorité"", ""v2/score(court)"": ""Priorité"", ""mvt(court)"": ""Priorité""}",OK,exp_court=Priorité raw=brulante,etage0=False
97411000CE1132,Saint-Denis,surface,fiche|geom_ST_Area(2975)|parcels.surface_m2|mvt,"{""fiche"": 348.0, ""geom_ST_Area_2975"": 347.98, ""parcels.surface_m2"": 347.98, ""mvt"": 347.98}",OK,arrondi entier,"geom en SRID 2975 (4326=degres, artefact ecarte)"
97411000CE1132,Saint-Denis,sdp_residuelle,fiche|mvt|renouv|parcel_residuel,"{""fiche.pot_transfo"": 94, ""mvt"": 94, ""residuel(canon)"": 94}",OK,canon=parcel_residuel cause NULL,
97408000AP1650,La Possession,tier,fiche.label|v2/score|mvt->court,"{""fiche.label"": ""À suivre"", ""v2/score(court)"": ""À suivre"", ""mvt(court)"": ""À suivre""}",OK,exp_court=À suivre raw=chaude,etage0=False
97408000AP1650,La Possession,surface,fiche|geom_ST_Area(2975)|parcels.surface_m2|mvt,"{""fiche"": 356.0, ""geom_ST_Area_2975"": 356.42, ""parcels.surface_m2"": 356.42, ""mvt"": 356.42}",OK,arrondi entier,"geom en SRID 2975 (4326=degres, artefact ecarte)"
97408000AP1650,La Possession,sdp_residuelle,fiche|mvt|renouv|parcel_residuel,"{""fiche.pot_transfo"": 196, ""mvt"": 196, ""residuel(canon)"": 196}",OK,canon=parcel_residuel cause NULL,
